run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_limited_descent_long_1,coarse,25,1,170,0.871085,0.965857,Solved,12.050000
cgl_direct_limited_descent_long_1,fine,2,1,13,1.917261,1.945356,Solved,12.050000
cgl_direct_limited_descent_long_1,total,27,2,183,2.788346,2.920226,Solved,12.050000
cgl_direct_limited_descent_long_2,coarse,25,1,170,0.900383,1.005470,Solved,12.050000
cgl_direct_limited_descent_long_2,fine,2,1,13,1.919151,1.944798,Solved,12.050000
cgl_direct_limited_descent_long_2,total,27,2,183,2.819534,2.958680,Solved,12.050000
cgl_direct_limited_descent_long_3,coarse,25,1,170,0.874143,0.965960,Solved,12.050000
cgl_direct_limited_descent_long_3,fine,2,1,13,1.933946,1.960162,Solved,12.050000
cgl_direct_limited_descent_long_3,total,27,2,183,2.808089,2.934522,Solved,12.050000
cgl_direct_limited_descent_long_4,coarse,25,1,170,0.889913,0.989950,Solved,12.050000
cgl_direct_limited_descent_long_4,fine,2,1,13,1.929409,1.956906,Solved,12.050000
cgl_direct_limited_descent_long_4,total,27,2,183,2.819322,2.954822,Solved,12.050000
cgl_direct_limited_descent_long_5,coarse,25,1,170,0.876538,0.967877,Solved,12.050000
cgl_direct_limited_descent_long_5,fine,2,1,13,1.918668,1.944897,Solved,12.050000
cgl_direct_limited_descent_long_5,total,27,2,183,2.795206,2.921178,Solved,12.050000
cgl_direct_limited_descent_long_6,coarse,25,1,170,0.879652,0.972256,Solved,12.050000
cgl_direct_limited_descent_long_6,fine,2,1,13,1.929674,1.957759,Solved,12.050000
cgl_direct_limited_descent_long_6,total,27,2,183,2.809327,2.938700,Solved,12.050000
cgl_direct_limited_descent_long_7,coarse,25,1,170,0.892381,0.994006,Solved,12.050000
cgl_direct_limited_descent_long_7,fine,2,1,13,1.914597,1.944863,Solved,12.050000
cgl_direct_limited_descent_long_7,total,27,2,183,2.806978,2.948876,Solved,12.050000
cgl_direct_limited_descent_long_8,coarse,25,1,170,0.869015,0.962541,Solved,12.050000
cgl_direct_limited_descent_long_8,fine,2,1,13,1.907163,1.932477,Solved,12.050000
cgl_direct_limited_descent_long_8,total,27,2,183,2.776177,2.903088,Solved,12.050000
cgl_direct_limited_descent_long_9,coarse,25,1,170,0.862773,0.960286,Solved,12.050000
cgl_direct_limited_descent_long_9,fine,2,1,13,1.940554,1.969114,Solved,12.050000
cgl_direct_limited_descent_long_9,total,27,2,183,2.803327,2.937751,Solved,12.050000
cgl_direct_limited_descent_long_10,coarse,25,1,170,0.880843,0.975319,Solved,12.050000
cgl_direct_limited_descent_long_10,fine,2,1,13,1.915318,1.943461,Solved,12.050000
cgl_direct_limited_descent_long_10,total,27,2,183,2.796161,2.927502,Solved,12.050000
cgl_direct_limited_descent_long_1,coarse,25,1,170,0.900283,0.998291,Solved,12.300000
cgl_direct_limited_descent_long_1,fine,7,1,25,5.090377,5.179981,AlmostSolved,12.300000
cgl_direct_limited_descent_long_1,total,32,2,195,5.990660,6.189731,AlmostSolved,12.300000
cgl_direct_limited_descent_long_2,coarse,25,1,170,0.912142,1.013390,Solved,12.300000
cgl_direct_limited_descent_long_2,fine,7,1,25,4.986866,5.083069,AlmostSolved,12.300000
cgl_direct_limited_descent_long_2,total,32,2,195,5.899008,6.109579,AlmostSolved,12.300000
cgl_direct_limited_descent_long_3,coarse,25,1,170,0.911630,1.019733,Solved,12.300000
cgl_direct_limited_descent_long_3,fine,7,1,25,4.991878,5.085950,AlmostSolved,12.300000
cgl_direct_limited_descent_long_3,total,32,2,195,5.903509,6.116097,AlmostSolved,12.300000
cgl_direct_limited_descent_long_4,coarse,25,1,170,0.877861,0.972536,Solved,12.300000
cgl_direct_limited_descent_long_4,fine,7,1,25,5.015895,5.108155,AlmostSolved,12.300000
cgl_direct_limited_descent_long_4,total,32,2,195,5.893756,6.091613,AlmostSolved,12.300000
cgl_direct_limited_descent_long_5,coarse,25,1,170,0.894274,0.982834,Solved,12.300000
cgl_direct_limited_descent_long_5,fine,7,1,25,4.861928,4.968291,AlmostSolved,12.300000
cgl_direct_limited_descent_long_5,total,32,2,195,5.756202,5.962277,AlmostSolved,12.300000
cgl_direct_limited_descent_long_6,coarse,25,1,170,0.884349,0.984562,Solved,12.300000
cgl_direct_limited_descent_long_6,fine,7,1,25,4.982622,5.082025,AlmostSolved,12.300000
cgl_direct_limited_descent_long_6,total,32,2,195,5.866971,6.078213,AlmostSolved,12.300000
cgl_direct_limited_descent_long_7,coarse,25,1,170,0.889503,0.984000,Solved,12.300000
cgl_direct_limited_descent_long_7,fine,7,1,25,4.984576,5.085955,AlmostSolved,12.300000
cgl_direct_limited_descent_long_7,total,32,2,195,5.874080,6.081579,AlmostSolved,12.300000
cgl_direct_limited_descent_long_8,coarse,25,1,170,0.900703,1.012807,Solved,12.300000
cgl_direct_limited_descent_long_8,fine,7,1,25,4.979858,5.078827,AlmostSolved,12.300000
cgl_direct_limited_descent_long_8,total,32,2,195,5.880561,6.103588,AlmostSolved,12.300000
cgl_direct_limited_descent_long_9,coarse,25,1,170,0.899850,0.998534,Solved,12.300000
cgl_direct_limited_descent_long_9,fine,7,1,25,5.058210,5.158388,AlmostSolved,12.300000
cgl_direct_limited_descent_long_9,total,32,2,195,5.958060,6.167785,AlmostSolved,12.300000
